COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
"Duke, V",Krance,Autumn in New York,we,,0654,Harms,,
Duncombe,Ployhar,"Fanfare, Air + Trpt Tune",we,elem band,1113,Wynn Music,,
Dvorak,Leidzen,"""New World Symp""(Finale Mvt 4)",we,symophony,1264,Fischer,,
Dvorak,Curnow,"Slavonic Dances, The",we,,1239,Jenson,,
Dykes,Stevens,"Holy, Holy, Holy",we,elem band,1101,Hal Leonard,,
"Eager, F",,2 Chorales,we,,0706,Luverne,,
Earl,Beeler,Beautiful Ohio,we,,0050,Shapiro Bernst,,
Earl,Briegel,Beautiful Ohio,we,march size,0367,"Shapino,Bernst",,
"Edwards, G",Teague,By the Light of the Silvery Moon,we,march size,0365,Remick,,
"Edwards, G",Teague,In my Merry Oldsmobile,we,march size,0369,Witmark,,
"Edwards, S",Erickson,"""1776"" (Selections)",we/broadwa,broadway,0857,Schirmer,,
Elgar,Reed,"""Enigma Variations""(Nimrod)",we,,1293,Mills,,
Elgar,Luckhardt,Pomp + Circumstance March 1,we,march,0051,Boosey,,
Elgar,,Pomp and Circumstance,we,,1473,Edwin F. Kalmu,2000/07,
Elgar,Reed,Pomp and Circumstance,we,,1488,Masters Music,2001/01,
Elgar,Reed,"Severn Suite, The",we,,0910,Fox,,
Ellington,Nestico,"Ellington Festival, An",we,jazz,1181,Jenson,,
Ellington,Werle,"Ellington Portrait, An",we,,0543,Mills,,
Elwell,Nelson,"""Happy Hypocrite, The""(Ov)",we,overture,1128,Fischer,,
Elwell,Nelson,Exhortation,we,,0664,Fema,,
Elwell,Nelson,"Happy Hypocrite, The",we,overture,1020,Fischer,,
Elwell,Nelson,Scherzo,we,,0767,Concert Music,,
Erb,,Stargazing,we,feature,0836,Merion Music,,
Erickson,,1st Symp for Band,we,Symphony,0052,Bourne,,
Erickson,,Air for Band,we,,0301,Bourne,,
Erickson,,Air for Band,we,,0853,Bourne,,
Erickson,,Concertino for Trpt + Band,we+trp,feature,1032,Fischer,,
Erickson,,Little Suite for Band,we,,0927,Bourne,,
